,MSFT,AAPL,AMZN,FB,BRK-B,GOOGL,JNJ,JPM,V,PG,MA,INTC,UNH,BAC,T
2020-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-25,-0.4374542236328125,0.5255126953125,18.902099609375,4.734039306640625,-4.194541931152344,-28.6300048828125,-0.637298583984375,-1.6758270263671875,-2.41424560546875,0.460601806640625,0.03167724609375,0.3654289245605469,-0.8074951171875,0.10554313659667969,0.0292816162109375
2020-11-26,-0.7979583740234375,1.1994400024414062,35.126953125,9.1368408203125,-9.873626708984375,-32.318115234375,-1.100494384765625,-2.298828125,-4.0357513427734375,0.5629425048828125,1.46051025390625,0.5280952453613281,-1.77117919921875,0.09440422058105469,0.04384422302246094
2020-11-27,-1.1628265380859375,1.7808074951171875,53.265869140625,12.609954833984375,-14.652984619140625,-51.87646484375,-1.802947998046875,-3.6595001220703125,-5.5064239501953125,0.7114410400390625,2.642547607421875,0.7856292724609375,-2.807861328125,0.15735435485839844,0.06842994689941406
2020-11-30,-1.5124359130859375,2.313507080078125,69.42333984375,15.73199462890625,-17.967864990234375,-66.558349609375,-2.4190826416015625,-4.459587097167969,-6.985992431640625,0.867706298828125,3.6817626953125,0.9990463256835938,-3.499176025390625,0.20221710205078125,0.07719230651855469
2020-12-01,-1.8504180908203125,2.8110885620117188,84.517333984375,18.678802490234375,-20.080047607421875,-80.016357421875,-3.0928955078125,-5.6255340576171875,-8.417678833007812,1.034149169921875,4.698211669921875,1.2335548400878906,-4.177734375,0.2645912170410156,0.0940704345703125
2020-12-02,-2.1616668701171875,3.2733154296875,97.99658203125,21.566802978515625,-21.436744689941406,-96.960693359375,-3.77911376953125,-6.482337951660156,-9.799560546875,1.20263671875,5.695648193359375,1.460418701171875,-4.984161376953125,0.3204536437988281,0.09893608093261719
2020-12-03,-2.447662353515625,3.7061004638671875,109.98388671875,24.47845458984375,-22.42919921875,-110.404296875,-4.466796875,-7.529243469238281,-11.138519287109375,1.3668212890625,6.68011474609375,1.6945152282714844,-5.864349365234375,0.37882041931152344,0.11186027526855469
2020-12-04,-2.7081146240234375,4.1167449951171875,120.388916015625,27.44219970703125,-23.3038330078125,-125.49658203125,-5.1685943603515625,-8.386123657226562,-12.432968139648438,1.522003173828125,7.662445068359375,1.9303321838378906,-6.803558349609375,0.4337291717529297,0.115997314453125
2020-12-07,-2.9420928955078125,4.5113525390625,129.267822265625,30.45556640625,-24.15943145751953,-139.6612548828125,-5.8690338134765625,-9.329673767089844,-13.682296752929688,1.6677703857421875,8.64935302734375,2.171550750732422,-7.79876708984375,0.4880523681640625,0.12766647338867188
