date,1. open,2. high,3. low,4. close,5. volume
2020-12-04,3198.21,3198.21,3158.76,3162.58,2913611.0
2020-12-07,3156.48,3180.76,3141.69,3158.0,2751316.0
2020-12-08,3158.9,3184.13,3120.02,3177.29,3286303.0
2020-12-09,3167.89,3174.43,3088.0,3104.2,4100836.0
2020-12-10,3088.99,3142.1,3076.0,3101.49,3030186.0
2020-12-11,3096.66,3118.67,3072.82,3116.42,3064695.0
2020-12-14,3143.0,3190.47,3126.0,3156.97,4155794.0
2020-12-15,3181.01,3188.4999,3130.49,3165.12,3323686.0
2020-12-16,3176.01,3247.0,3163.68,3240.96,4427616.0
2020-12-17,3250.0,3263.51,3221.0,3236.08,3474347.0
2020-12-18,3243.99,3249.42,3171.6,3201.65,5995713.0
2020-12-21,3200.01,3226.9666,3166.0,3206.18,3836846.0
2020-12-22,3202.8434,3222.0,3180.08,3206.52,2381781.0
2020-12-23,3205.0,3210.13,3184.17,3185.27,2093787.0
2020-12-24,3193.9,3202.0,3169.0,3172.69,1451917.0
2020-12-28,3194.0,3304.0,3172.69,3283.96,5620728.0
2020-12-29,3309.94,3350.65,3281.223,3322.0,4872933.0
2020-12-30,3341.0,3342.1,3282.47,3285.85,3209310.0
2020-12-31,3275.0,3282.9219,3241.2,3256.93,2957206.0
2021-01-04,3270.0,3272.0,3144.02,3186.63,4411449.0
2021-01-05,3166.01,3223.38,3165.06,3218.51,2655548.0
2021-01-06,3146.48,3197.509,3131.16,3138.38,4394815.0
2021-01-07,3157.0,3208.542,3155.0,3162.16,3514545.0
2021-01-08,3180.0,3190.64,3142.2,3182.7,3537744.0
2021-01-11,3148.01,3156.3841,3110.0,3114.21,3669095.0
2021-01-12,3120.0,3142.1418,3086.0,3120.83,3418549.0
2021-01-13,3128.44,3189.95,3122.08,3165.89,3321244.0
2021-01-14,3167.52,3177.9999,3120.59,3127.47,3070919.0
2021-01-15,3123.02,3142.545,3095.17,3104.25,4243995.0
2021-01-19,3107.0,3145.0,3096.0,3120.76,3305142.0
2021-01-20,3181.99,3279.8,3175.0,3263.38,5309835.0
2021-01-21,3293.0,3348.55,3289.5675,3306.99,4945051.0
2021-01-22,3304.31,3321.91,3283.1644,3292.23,2821914.0
2021-01-25,3328.5,3363.89,3243.1463,3294.0,3749758.0
2021-01-26,3296.3559,3338.0,3282.87,3326.13,2955235.0
2021-01-27,3341.49,3346.52,3207.08,3232.58,4660158.0
2021-01-28,3235.04,3301.68,3228.69,3237.62,3149228.0
2021-01-29,3230.0,3236.99,3184.55,3206.2,4293556.0
2021-02-01,3242.36,3350.26,3235.025,3342.88,4160212.0
2021-02-02,3380.0,3427.74,3361.125,3380.0,6183716.0
2021-02-03,3425.01,3434.0,3308.62,3312.53,7088781.0
2021-02-04,3330.0,3347.0,3277.75,3331.0,3670661.0
2021-02-05,3319.0,3377.0,3302.71,3352.15,3620808.0
2021-02-08,3358.5,3364.9999,3304.0,3322.94,3257391.0
2021-02-09,3312.49,3338.0,3297.84,3305.0,2179355.0
2021-02-10,3314.0,3317.9548,3254.0,3286.58,3125174.0
2021-02-11,3292.0,3292.0,3248.06,3262.13,2301417.0
2021-02-12,3250.0,3280.25,3233.31,3277.71,2335339.0
2021-02-16,3254.05,3308.3,3253.591,3268.95,2574721.0
2021-02-17,3263.6,3320.91,3259.4996,3308.64,3261801.0
2021-02-18,3282.42,3338.0,3273.94,3328.23,3033607.0
2021-02-19,3328.23,3333.5,3245.75,3249.9,4305184.0
2021-02-22,3208.13,3232.3199,3172.26,3180.74,3461266.0
2021-02-23,3127.03,3204.73,3093.6,3194.5,4677222.0
2021-02-24,3166.75,3171.23,3125.38,3159.53,3011275.0
2021-02-25,3136.74,3178.26,3047.76,3057.16,4399320.0
2021-02-26,3095.2,3122.44,3036.7,3092.93,4246135.0
2021-03-01,3127.89,3149.56,3097.99,3146.14,2733963.0
2021-03-02,3143.47,3163.52,3087.1201,3094.53,2595762.0
2021-03-03,3081.18,3107.775,2995.0,3005.0,3988725.0
2021-03-04,3012.0,3058.13,2945.43,2977.57,5481578.0
2021-03-05,3005.0,3009.0,2881.0001,3000.46,5388551.0
2021-03-08,3015.0,3064.59,2951.31,2951.95,4185008.0
2021-03-09,3017.99,3090.96,3005.1474,3062.85,4030032.0
2021-03-10,3098.45,3116.46,3030.05,3057.64,3012489.0
2021-03-11,3104.01,3131.7843,3082.93,3113.59,2776391.0
2021-03-12,3075.0,3098.98,3045.5,3089.49,2421888.0
2021-03-15,3074.57,3082.24,3032.09,3081.68,2918592.0
2021-03-16,3104.97,3128.91,3075.8601,3091.86,2538764.0
2021-03-17,3073.22,3173.05,3070.22,3135.73,3118584.0
2021-03-18,3101.0,3116.63,3025.0,3027.99,3657027.0
2021-03-19,3029.23,3077.285,3016.63,3074.96,4625354.0
2021-03-22,3067.85,3126.58,3060.05,3110.87,2902179.0
2021-03-23,3127.0,3182.0,3120.8501,3137.5,3817263.0
2021-03-24,3151.04,3160.31,3085.15,3087.07,2958981.0
2021-03-25,3072.99,3109.78,3037.14,3046.26,3563469.0
2021-03-26,3044.06,3056.66,2996.0,3052.03,3312924.0
2021-03-29,3055.4394,3091.25,3028.445,3075.73,2745968.0
2021-03-30,3070.01,3073.0,3034.0,3055.29,2337603.0
2021-03-31,3064.06,3119.33,3062.5,3094.08,3093896.0
2021-04-01,3117.94,3162.44,3115.55,3161.0,2940318.0
2021-04-05,3173.0,3235.955,3161.24,3226.73,3334882.0
2021-04-06,3223.75,3247.31,3217.04,3223.82,2537809.0
2021-04-07,3233.8,3303.6125,3223.65,3279.39,3346227.0
2021-04-08,3310.9,3324.5,3292.0,3299.3,2812090.0
2021-04-09,3304.7,3372.2,3288.9,3372.2,4341473.0
2021-04-12,3355.21,3395.04,3351.15,3379.39,3281798.0
2021-04-13,3400.845,3432.0,3395.63,3400.0,3315837.0
2021-04-14,3404.04,3404.13,3326.0,3333.0,3145204.0
2021-04-15,3371.0,3396.9999,3352.0,3379.09,3233580.0
2021-04-16,3380.0,3406.8,3355.59,3399.44,3186049.0
2021-04-19,3390.33,3435.9333,3360.16,3372.01,2725405.0
2021-04-20,3373.6,3382.99,3316.0,3334.69,2623032.0
2021-04-21,3316.0,3362.86,3303.8061,3362.02,2211166.0
2021-04-22,3371.68,3372.87,3301.45,3309.04,2580590.0
2021-04-23,3319.1,3375.0,3308.5,3340.88,3196652.0
2021-04-26,3348.0,3428.45,3330.94,3409.0,4880708.0
2021-04-27,3443.47,3460.0,3398.01,3417.43,3827140.0
2021-04-28,3434.8,3489.88,3425.0,3458.5,4631884.0
2021-04-29,3505.0981,3514.445,3435.0,3471.31,7682381.0
