date,1. open,2. high,3. low,4. close,5. volume
2020-07-07,23.38,23.39,22.9,23.01,60645800.0
2020-07-08,23.03,23.19,22.7,23.1,52922600.0
2020-07-09,22.94,23.16,22.39,22.77,79385900.0
2020-07-10,22.71,24.05,22.68,24.02,81142900.0
2020-07-13,24.37,24.51,23.86,24.19,73598100.0
2020-07-14,23.89,24.15,23.45,24.14,67423100.0
2020-07-15,24.76,24.87,24.28,24.6,57384400.0
2020-07-16,23.75,24.22,23.54,23.93,78067100.0
2020-07-17,23.88,23.98,23.2,23.22,66659100.0
2020-07-20,23.19,23.7,23.11,23.58,61114000.0
2020-07-21,23.71,24.48,23.69,24.42,75546100.0
2020-07-22,24.24,24.33,23.965,24.31,52193708.0
2020-07-23,24.52,24.64,24.11,24.54,61047616.0
2020-07-24,24.56,24.83,24.27,24.35,50217643.0
2020-07-27,24.22,24.27,23.875,24.14,54721348.0
2020-07-28,24.13,24.56,24.075,24.36,48406513.0
2020-07-29,24.36,25.29,24.19,25.27,71393500.0
2020-07-30,24.72,24.95,24.345,24.84,61755886.0
2020-07-31,24.93,24.95,24.46,24.88,62039245.0
2020-08-03,25.03,25.31,24.69,24.99,58284026.0
2020-08-04,24.96,25.06,24.86,25.01,37985273.0
2020-08-05,25.32,25.59,25.25,25.39,51695566.0
2020-08-06,25.45,25.665,25.28,25.47,51999733.0
2020-08-07,25.34,26.1911,25.26,26.11,63354498.0
2020-08-10,26.31,26.81,26.21,26.56,64051124.0
2020-08-11,27.28,27.75,26.78,26.92,81440973.0
2020-08-12,27.48,27.57,26.41,26.73,62023958.0
2020-08-13,26.49,26.67,26.14,26.35,55955478.0
2020-08-14,26.06,26.6601,25.92,26.47,50931874.0
2020-08-17,26.31,26.41,25.84,25.9,55751094.0
2020-08-18,25.87,25.985,25.46,25.53,45850127.0
2020-08-19,25.66,26.08,25.39,25.5,59855953.0
2020-08-20,25.16,25.325,25.02,25.1,49403690.0
2020-08-21,24.98,25.43,24.9,24.98,55010685.0
2020-08-24,25.22,25.7,25.04,25.69,54579461.0
2020-08-25,26.04,26.19,25.73,26.0,57304734.0
2020-08-26,25.94,25.94,25.54,25.56,39477979.0
2020-08-27,25.49,26.22,25.44,26.05,52934791.0
2020-08-28,26.4,26.47,25.99,26.3,46466386.0
2020-08-31,26.09,26.14,25.69,25.74,49416216.0
2020-09-01,25.58,25.9,25.4,25.71,46152100.0
2020-09-02,25.53,26.1579,25.485,26.02,57300855.0
2020-09-03,26.2,26.62,25.46,25.66,86192495.0
2020-09-04,26.26,26.76,25.8,26.54,99621412.0
2020-09-08,26.14,26.32,25.39,25.48,74978641.0
2020-09-09,25.64,25.72,25.23,25.51,53822654.0
2020-09-10,25.7,25.89,25.08,25.14,56609617.0
2020-09-11,25.22,25.58,25.09,25.5,47708344.0
2020-09-14,25.67,25.99,25.54,25.75,47802394.0
2020-09-15,25.77,25.825,25.19,25.28,63820151.0
2020-09-16,25.28,25.91,25.05,25.6,64623411.0
2020-09-17,25.13,25.4816,25.1,25.35,48862044.0
2020-09-18,25.15,25.58,25.1,25.21,94055811.0
2020-09-21,24.57,24.78,24.03,24.47,75218582.0
2020-09-22,24.27,24.595,23.81,23.94,68665345.0
2020-09-23,24.1,24.26,23.26,23.26,59950325.0
2020-09-24,23.38,23.82,22.95,23.34,53570650.0
2020-09-25,23.28,23.55,23.13,23.49,42111339.0
2020-09-28,23.88,24.31,23.79,24.09,47996895.0
2020-09-29,23.98,23.99,23.525,23.77,45716131.0
2020-09-30,23.78,24.32,23.77,24.09,56226101.0
2020-10-01,24.27,24.41,23.863,24.1,44782151.0
2020-10-02,23.64,24.431,23.57,24.21,51682108.0
2020-10-05,24.52,24.71,24.38,24.62,44396754.0
2020-10-06,24.92,25.19,24.28,24.37,67541135.0
2020-10-07,24.63,25.11,24.6,24.88,47647962.0
2020-10-08,24.95,25.3,24.81,25.24,52080647.0
2020-10-09,25.34,25.49,25.04,25.36,44511466.0
2020-10-12,25.3,25.83,25.24,25.68,48362917.0
2020-10-13,25.64,25.68,24.84,24.95,61186942.0
2020-10-14,24.35,24.59,23.59,23.62,127563386.0
2020-10-15,23.59,24.2,23.48,24.15,66832398.0
2020-10-16,24.2,24.35,23.94,24.24,58357722.0
2020-10-19,24.3,24.32,23.69,23.72,51377925.0
2020-10-20,23.89,24.48,23.88,24.14,62476424.0
2020-10-21,24.22,24.34,24.01,24.05,41564912.0
2020-10-22,24.05,24.91,24.0,24.87,55401973.0
2020-10-23,25.24,25.26,24.71,24.9,51007411.0
2020-10-26,24.47,24.58,24.15,24.54,59450201.0
2020-10-27,24.29,24.39,23.81,23.85,55009290.0
2020-10-28,23.41,23.66,23.12,23.47,81942517.0
2020-10-29,23.36,23.75,23.12,23.54,57490448.0
2020-10-30,23.49,23.84,23.24,23.7,66499910.0
2020-11-02,23.89,24.26,23.47,24.08,59756372.0
2020-11-03,24.58,24.94,24.51,24.69,65106150.0
2020-11-04,23.89,24.14,23.265,23.68,88845454.0
2020-11-05,23.9,24.7879,23.855,24.61,74722613.0
2020-11-06,24.93,24.96,24.23,24.31,55454491.0
2020-11-09,26.6003,28.27,26.3,27.76,178378809.0
2020-11-10,27.485,27.76,27.18,27.66,77694587.0
2020-11-11,27.75,27.77,27.12,27.34,48360931.0
2020-11-12,26.84,26.9,26.31,26.69,67956935.0
2020-11-13,26.88,27.21,26.755,27.0,52453266.0
2020-11-16,27.86,28.0,27.18,27.58,57396669.0
2020-11-17,27.25,27.6,27.01,27.55,46402309.0
2020-11-18,27.63,27.93,26.96,26.98,54416692.0
2020-11-19,26.93,27.01,26.65,26.98,46422959.0
2020-11-20,26.74,26.9459,26.63,26.81,40537950.0
2020-11-23,27.11,27.52,27.06,27.39,45421204.0
