date,1. open,2. high,3. low,4. close,5. volume
2020-12-31,272.0,277.09,269.81,273.16,12900408.0
2021-01-04,274.78,275.0,265.2,268.94,15106113.0
2021-01-05,268.29,272.4,268.2111,270.97,9871557.0
2021-01-06,262.0,267.75,260.01,263.31,24354149.0
2021-01-07,265.9,271.61,264.78,268.74,15789756.0
2021-01-08,268.31,268.95,263.18,267.57,18528251.0
2021-01-11,260.48,263.47,255.9,256.84,30412286.0
2021-01-12,256.63,259.72,250.3,251.09,25772128.0
2021-01-13,251.55,253.95,249.2,251.64,19528938.0
2021-01-14,253.4,255.03,244.61,245.64,29739404.0
2021-01-15,247.9,253.86,247.16,251.36,24942930.0
2021-01-19,256.9,262.2,252.7201,261.1,28028546.0
2021-01-20,268.93,270.32,263.6,267.48,25199919.0
2021-01-21,269.26,273.6,267.4901,272.87,20838687.0
2021-01-22,272.01,278.47,272.0,274.5,21954042.0
2021-01-25,278.14,280.1,271.51,278.01,19086990.0
2021-01-26,278.1398,285.39,277.81,282.05,19373636.0
2021-01-27,282.53,283.45,268.1201,272.14,35346194.0
2021-01-28,277.18,286.79,264.7,265.0,37758844.0
2021-01-29,265.3,266.56,254.85,258.33,30389499.0
2021-02-01,259.52,264.17,254.91,262.01,22914255.0
2021-02-02,264.0,268.85,263.27,267.08,16964380.0
2021-02-03,265.62,269.2,263.84,266.65,14223377.0
2021-02-04,267.01,268.16,264.0,266.49,16059958.0
2021-02-05,266.8,269.17,265.67,268.1,12454367.0
2021-02-08,268.75,269.86,265.0,266.58,13755191.0
2021-02-09,266.44,273.39,265.75,269.45,14420322.0
2021-02-10,272.4465,273.7999,267.72,271.87,14188230.0
2021-02-11,271.89,273.58,268.49,270.39,12828572.0
2021-02-12,270.52,271.18,268.34,270.5,9097597.0
2021-02-16,270.8,276.6,270.05,273.97,15417243.0
2021-02-17,271.24,273.97,269.58,273.57,12619051.0
2021-02-18,269.565,271.95,266.03,269.39,15249134.0
2021-02-19,269.86,270.27,260.15,261.56,25622587.0
2021-02-22,257.95,263.07,257.53,260.33,17298474.0
2021-02-23,259.5,267.46,254.96,265.855,21924557.0
