date,1. open,2. high,3. low,4. close,5. volume
2021-01-13,59.5,60.25,56.9,56.95,124070671.0
2021-01-14,58.45,60.14,57.84,59.25,74680892.0
2021-01-15,58.85,59.65,57.5,57.58,50265363.0
2021-01-19,57.94,58.34,57.1,57.99,35647144.0
2021-01-20,58.24,59.22,58.09,58.67,28701263.0
2021-01-21,59.038,63.95,58.2233,62.46,87156464.0
2021-01-22,58.85,59.62,56.65,56.66,85729315.0
2021-01-25,56.38,56.5,54.06,55.44,61968547.0
2021-01-26,55.275,56.2,54.85,55.21,31485880.0
2021-01-27,54.61,54.8481,53.3,53.59,49722945.0
2021-01-28,54.79,57.4,54.7,56.065,49202558.0
2021-01-29,55.98,57.16,55.355,55.51,37256225.0
2021-02-01,55.95,57.39,55.71,56.69,26926638.0
2021-02-02,57.19,58.28,56.88,58.0,23507349.0
2021-02-03,57.8943,58.33,57.38,57.68,21893188.0
2021-02-04,57.61,58.88,57.19,58.79,29853778.0
2021-02-05,59.0,59.08,58.12,58.18,23432611.0
2021-02-08,58.375,59.22,57.95,59.16,34358295.0
2021-02-09,58.77,59.31,57.935,58.78,28728942.0
2021-02-10,59.3,59.42,58.12,58.86,16285501.0
2021-02-11,59.095,60.99,58.86,60.66,27539121.0
2021-02-12,60.6,62.51,60.43,61.81,26214175.0
2021-02-16,62.0,62.87,61.7,62.47,26326297.0
2021-02-17,61.49,62.185,61.21,61.85,20319580.0
2021-02-18,60.645,61.98,60.64,61.61,17846142.0
2021-02-19,61.91,63.26,61.85,63.01,28290116.0
2021-02-22,61.88,62.7,60.66,60.71,31986912.0
2021-02-23,60.48,61.495,59.17,61.12,27374594.0
2021-02-24,60.53,63.28,60.38,63.19,24669870.0
2021-02-25,62.405,63.54,60.13,60.4,36200073.0
2021-02-26,60.89,61.69,59.68,60.78,38098784.0
2021-03-01,61.72,63.08,61.65,62.88,28503500.0
2021-03-02,62.8,63.14,61.11,61.24,23320016.0
2021-03-03,60.64,61.52,59.7,59.9,28740357.0
2021-03-04,59.83,60.235,57.905,58.33,40210352.0
2021-03-05,59.26,61.175,58.51,60.74,39511670.0
2021-03-08,60.4677,61.695,59.72,59.85,33112387.0
2021-03-09,61.18,63.165,60.84,62.67,36387479.0
2021-03-10,63.22,64.12,62.13,62.25,27160323.0
2021-03-11,62.94,64.09,62.39,63.31,30701765.0
2021-03-12,62.65,63.3,62.24,62.9,20172961.0
2021-03-15,63.61,63.875,62.48,63.79,21251484.0
2021-03-16,64.15,65.7302,64.08,64.78,30186635.0
2021-03-17,64.2235,66.29,63.71,65.78,32394652.0
2021-03-18,65.63,65.7,63.65,63.725,30107865.0
2021-03-19,63.18,64.99,62.92,63.76,54951650.0
2021-03-22,64.82,66.38,64.56,65.63,34380148.0
2021-03-23,66.0,66.05,63.17,63.48,35159952.0
2021-03-24,66.58,67.44,61.99,62.04,74584670.0
2021-03-25,61.655,62.44,60.975,62.02,35401428.0
2021-03-26,61.8,64.97,61.77,64.87,34705755.0
2021-03-29,64.0113,65.125,63.61,64.5,26161610.0
2021-03-30,63.77,64.0,63.15,63.77,20709487.0
2021-03-31,64.01,64.4899,63.58,64.0,33013231.0
2021-04-01,64.725,64.89,63.575,64.55,31416250.0
2021-04-05,64.95,66.74,64.7,66.54,27947521.0
2021-04-06,66.0616,66.575,65.29,65.56,28771404.0
2021-04-07,65.67,66.57,65.36,66.25,17793257.0
2021-04-08,66.97,67.29,66.36,67.05,22224223.0
2021-04-09,66.7976,68.4,66.63,68.26,27177096.0
2021-04-12,68.2,68.49,64.71,65.405,51266884.0
2021-04-13,65.61,65.6346,64.21,65.22,26821990.0
2021-04-14,65.31,65.38,63.84,64.19,25768415.0
2021-04-15,63.97,65.215,63.6799,65.02,24927676.0
2021-04-16,65.33,65.52,64.57,64.75,24625458.0
2021-04-19,64.7,64.74,63.07,63.63,23997675.0
2021-04-20,63.64,63.76,62.41,62.7,19872123.0
2021-04-21,62.79,63.775,62.3,63.7,24364209.0
2021-04-22,63.35,63.91,62.28,62.57,38257616.0
2021-04-23,59.16,60.0,57.9,59.24,77519832.0
2021-04-26,59.1,59.52,58.46,58.76,39645910.0
2021-04-27,58.555,58.63,57.77,57.97,38167700.0
2021-04-28,57.52,58.16,57.15,57.62,30387352.0
2021-04-29,57.88,58.3,57.47,58.28,23290618.0
2021-04-30,57.61,58.43,57.07,57.53,30731840.0
2021-05-03,57.855,57.8768,56.84,57.26,22281701.0
2021-05-04,56.88,56.98,55.81,56.9,35323622.0
2021-05-05,56.96,57.3,56.46,56.85,21001931.0
2021-05-06,56.615,57.25,56.245,57.19,25529252.0
2021-05-07,57.7,58.01,57.24,57.67,19959041.0
2021-05-10,57.1465,57.23,55.88,55.97,35046472.0
2021-05-11,55.05,55.63,54.3,55.04,35968053.0
2021-05-12,54.39,54.65,53.42,53.62,30232253.0
2021-05-13,54.04,54.39,53.46,54.01,29192470.0
2021-05-14,54.6046,55.8467,54.255,55.35,28158312.0
2021-05-17,55.29,55.89,54.76,55.33,20010191.0
2021-05-18,55.95,56.14,54.8,54.84,18703385.0
2021-05-19,54.07,55.43,53.8418,55.36,23769652.0
2021-05-20,55.57,56.24,55.36,55.95,23145167.0
2021-05-21,56.42,56.71,55.9801,56.08,17723087.0
2021-05-24,56.648,57.39,56.4,56.96,19164350.0
2021-05-25,57.56,57.56,56.42,56.87,22309872.0
2021-05-26,57.05,57.23,56.585,56.92,15173599.0
2021-05-27,57.11,57.88,57.0,57.73,32387637.0
2021-05-28,57.55,57.65,56.94,57.12,20309599.0
2021-06-01,57.61,57.82,56.59,56.89,20326366.0
2021-06-02,56.91,57.69,56.755,57.48,18483588.0
2021-06-03,56.98,57.1,56.085,56.24,21831303.0
2021-06-04,56.55,57.75,56.54,57.37,21493760.0
2021-06-07,57.41,57.44,56.775,57.09,17364399.0
