date,1. open,2. high,3. low,4. close,5. volume
2021-05-20,362.94,369.41,362.49,367.7,4087452.0
2021-05-21,369.14,372.53,367.46,367.6,2708772.0
2021-05-24,370.08,373.7446,369.64,372.38,2351777.0
2021-05-25,373.13,373.75,366.82,367.22,3916510.0
2021-05-26,369.0,369.905,362.05,362.65,3101919.0
2021-05-27,364.55,366.395,360.54,362.0,5416264.0
2021-05-28,363.5,365.41,360.415,360.58,3625914.0
2021-06-01,364.48,365.4,359.54,359.79,3119928.0
2021-06-02,363.53,371.17,362.88,366.85,3531164.0
2021-06-03,363.36,366.69,361.731,361.82,2606231.0
2021-06-04,364.31,366.63,363.7,366.02,2295380.0
2021-06-07,367.8,371.35,363.28,364.08,2133427.0
2021-06-08,365.0,367.68,363.23,365.26,3224152.0
2021-06-09,366.94,369.32,363.33,363.33,2521216.0
2021-06-10,364.69,365.64,361.96,364.3,2460441.0
2021-06-11,365.54,366.85,363.8,365.5,2708482.0
2021-06-14,366.0,366.63,362.095,366.52,2515618.0
2021-06-15,367.336,368.75,362.74,368.12,3562471.0
2021-06-16,369.38,369.38,361.3,363.82,3076802.0
2021-06-17,363.5,369.15,361.23,367.29,3824917.0
2021-06-18,362.12,370.375,362.0,367.42,5009378.0
2021-06-21,368.62,376.45,366.2,373.09,3094644.0
2021-06-22,373.99,378.76,372.02,378.04,3582650.0
2021-06-23,378.0,378.7159,374.29,375.14,2241911.0
2021-06-24,379.0,380.06,372.9,374.75,2788325.0
2021-06-25,375.45,379.65,373.325,379.61,3983881.0
2021-06-28,380.92,380.92,365.12,367.68,4800274.0
2021-06-29,369.01,371.39,367.91,368.0,3394538.0
2021-06-30,367.95,370.17,364.27,365.09,2884914.0
2021-07-01,366.05,371.21,365.6,370.71,3108496.0
2021-07-02,372.69,375.49,372.15,375.03,2787034.0
2021-07-06,376.65,378.235,371.5,376.12,2740460.0
2021-07-07,376.79,378.15,372.45,373.92,3176557.0
2021-07-08,367.5,370.59,365.65,370.19,2808993.0
2021-07-09,371.85,373.48,369.89,372.94,2404802.0
2021-07-12,375.0,376.07,372.08,375.56,2648393.0
2021-07-13,375.55,386.64,375.55,383.71,5161005.0
2021-07-14,382.98,391.63,382.98,390.8,4140829.0
2021-07-15,390.14,393.3,387.45,390.23,3772968.0
2021-07-16,393.15,393.46,385.33,387.12,2706530.0
2021-07-19,378.0,378.6,363.365,365.45,6814430.0
2021-07-20,367.0,376.6,365.27,374.39,3542605.0
2021-07-21,376.03,380.9041,375.05,380.06,2393131.0
2021-07-22,380.3,382.86,377.05,382.16,4180644.0
2021-07-23,385.09,394.5,385.09,393.26,3720272.0
2021-07-26,391.67,392.89,388.27,392.8,2285814.0
2021-07-27,390.0,395.28,385.89,390.27,2783822.0
2021-07-28,391.62,391.73,382.325,383.44,3372571.0
2021-07-29,387.5,394.74,387.5,388.81,3769421.0
2021-07-30,389.0,389.0,383.08,385.94,2533294.0
2021-08-02,389.3,389.98,373.8,375.26,3430303.0
2021-08-03,376.66,376.67,359.57,367.6,6328497.0
2021-08-04,367.28,369.26,363.43,368.01,3203182.0
2021-08-05,368.2,371.96,367.0,371.94,2562647.0
2021-08-06,371.42,375.5,371.0,374.53,2038730.0
2021-08-09,374.19,374.5,368.89,370.68,2400796.0
2021-08-10,372.29,372.75,364.11,367.84,3225280.0
2021-08-11,368.55,369.96,363.75,364.24,3267708.0
2021-08-12,362.57,363.22,357.85,361.98,3803216.0
2021-08-13,362.26,363.4999,360.63,362.75,2303183.0
2021-08-16,360.5,363.81,356.62,363.56,2937742.0
2021-08-17,362.0,364.46,359.79,363.23,2812781.0
2021-08-18,361.18,365.6814,360.59,360.95,2774545.0
2021-08-19,356.9,360.14,354.72,357.31,2727913.0
2021-08-20,357.36,358.32,353.33,354.99,4135879.0
2021-08-23,357.47,362.24,356.75,361.01,3537868.0
2021-08-24,363.03,366.1,361.465,361.78,3032033.0
2021-08-25,361.96,362.4,358.5,359.1,2340361.0
2021-08-26,358.0,358.2,351.7973,352.86,3946332.0
2021-08-27,352.46,356.5,351.6538,355.73,3698298.0
2021-08-30,354.8,358.04,352.25,353.05,4032096.0
2021-08-31,352.94,355.22,344.68,346.23,6780389.0
2021-09-01,347.38,352.045,347.3,349.57,4499639.0
2021-09-02,350.51,350.535,339.33,341.28,7413609.0
2021-09-03,339.93,344.14,338.93,340.23,5172760.0
2021-09-07,344.89,348.0,343.02,344.71,4766496.0
2021-09-08,345.0,352.0,345.0,351.04,5054473.0
2021-09-09,350.71,353.64,349.92,351.41,3716196.0
2021-09-10,354.928,355.0,347.02,347.39,3437652.0
2021-09-13,350.0,351.99,346.36,347.82,3234238.0
