date,1. open,2. high,3. low,4. close,5. volume
2021-06-02,29.3,29.64,29.15,29.61,40032951.0
2021-06-03,29.46,29.565,29.19,29.23,45912511.0
2021-06-04,29.24,29.34,29.19,29.27,34160198.0
2021-06-07,29.3,29.33,29.01,29.08,33090837.0
2021-06-08,29.03,29.04,28.725,28.98,61779960.0
2021-06-09,28.95,29.18,28.88,29.01,29228138.0
2021-06-10,29.01,29.29,29.0,29.18,34757756.0
2021-06-11,29.22,29.35,29.13,29.32,31090598.0
2021-06-14,29.23,29.275,28.96,29.09,27195073.0
2021-06-15,29.06,29.3,29.04,29.28,26212498.0
2021-06-16,29.28,29.34,28.99,29.06,29682793.0
2021-06-17,29.04,29.1467,28.71,28.74,35712452.0
2021-06-18,28.63,28.765,28.41,28.65,65706189.0
2021-06-21,28.72,28.95,28.67,28.93,33607023.0
2021-06-22,28.94,29.0,28.77,28.78,31362702.0
2021-06-23,28.8,28.92,28.64,28.65,23776220.0
2021-06-24,28.71,28.84,28.61,28.79,35878560.0
2021-06-25,28.7,28.95,28.66,28.89,27975340.0
2021-06-28,28.91,28.91,28.75,28.78,27094846.0
2021-06-29,28.8,29.04,28.65,28.66,32262766.0
2021-06-30,28.66,28.86,28.65,28.78,32948476.0
2021-07-01,28.89,29.22,28.86,29.11,26395465.0
2021-07-02,29.11,29.35,29.1,29.23,28686361.0
2021-07-06,29.28,29.33,28.95,29.02,40206637.0
2021-07-07,29.03,29.07,28.86,28.93,33598447.0
2021-07-08,28.27,28.37,28.09,28.18,40019186.0
2021-07-09,28.25,28.5375,28.24,28.45,34150163.0
2021-07-12,28.34,28.58,28.23,28.48,26879901.0
2021-07-13,28.48,28.62,28.22,28.27,29026579.0
2021-07-14,28.26,28.36,28.16,28.26,31965876.0
2021-07-15,28.24,28.5,28.205,28.43,27267951.0
2021-07-16,28.4998,28.63,28.3,28.34,26188219.0
2021-07-19,28.11,28.2,27.5,27.79,57679269.0
2021-07-20,27.71,28.18,27.65,27.91,34763185.0
2021-07-21,28.08,28.3,27.85,27.9,30814329.0
2021-07-22,28.26,28.35,27.74,28.01,36936984.0
2021-07-23,27.97,28.207,27.935,28.15,30234130.0
2021-07-26,28.08,28.24,28.01,28.18,36555998.0
2021-07-27,28.01,28.395,27.88,28.2,34185344.0
2021-07-28,28.15,28.29,27.86,28.01,31774817.0
2021-07-29,28.19,28.45,28.11,28.29,31701941.0
2021-07-30,28.37,28.4,28.01,28.05,37502241.0
2021-08-02,28.24,28.55,28.03,28.11,32542780.0
2021-08-03,28.08,28.25,27.91,28.19,28687712.0
2021-08-04,28.04,28.12,27.81,27.85,29441177.0
2021-08-05,27.87,28.01,27.86,27.94,21025516.0
2021-08-06,27.91,28.09,27.91,27.96,23083584.0
2021-08-09,27.97,28.0,27.81,27.85,25196013.0
2021-08-10,27.82,28.11,27.77,28.09,22260375.0
2021-08-11,28.08,28.22,28.02,28.16,20500677.0
2021-08-12,28.2,28.22,27.95,28.02,19014073.0
2021-08-13,28.04,28.26,28.0,28.19,21832299.0
2021-08-16,28.14,28.29,27.98,28.2,20506969.0
2021-08-17,28.08,28.27,28.0133,28.19,19910486.0
