date,1. open,2. high,3. low,4. close,5. volume
2021-05-20,409.53,413.83,408.32,408.64,2105974.0
2021-05-21,410.76,418.63,409.46,411.63,4295746.0
2021-05-24,412.37,413.9,409.92,410.95,1883815.0
2021-05-25,411.85,413.86,408.8942,413.05,2285601.0
2021-05-26,412.1,415.3,411.01,413.21,1903928.0
2021-05-27,414.92,415.105,410.38,412.7,2041955.0
2021-05-28,412.7,415.47,410.02,411.92,2368025.0
2021-06-01,413.73,413.73,406.155,406.72,2199581.0
2021-06-02,409.14,409.14,404.55,405.85,2232967.0
2021-06-03,403.5,409.755,402.84,407.96,2281157.0
2021-06-04,410.96,411.0,404.65,405.64,2991121.0
2021-06-07,406.96,407.21,398.69,400.25,3353805.0
2021-06-08,400.72,402.75,398.745,401.74,3051309.0
2021-06-09,403.33,405.78,400.525,401.1,1925796.0
2021-06-10,401.91,402.85,398.47,401.49,4033653.0
2021-06-11,403.35,403.36,394.78,397.89,3094507.0
2021-06-14,397.3,399.47,395.13,399.16,2675015.0
2021-06-15,399.96,401.5,396.47,400.28,2845842.0
2021-06-16,401.1,403.1495,396.67,397.25,3292435.0
2021-06-17,396.0,398.07,394.61,397.35,3532149.0
2021-06-18,387.28,392.66,387.25,389.37,5521433.0
2021-06-21,389.37,399.199,389.22,398.07,3839370.0
2021-06-22,400.61,400.65,397.82,398.69,3964629.0
2021-06-23,397.82,399.0,395.265,395.56,2942116.0
2021-06-24,398.32,402.1602,396.84,398.87,3309150.0
2021-06-25,400.1,409.98,399.02,404.95,16928876.0
2021-06-28,404.95,404.99,397.931,401.46,3193451.0
2021-06-29,401.97,403.2,397.48,398.1,2458834.0
2021-06-30,397.54,401.4,396.8,400.44,2875702.0
2021-07-01,402.03,405.205,401.81,404.89,2678291.0
2021-07-02,405.09,409.87,403.88,409.36,1982443.0
2021-07-06,408.67,411.16,405.71,410.26,2615260.0
2021-07-07,410.35,412.18,407.2,411.66,2270451.0
2021-07-08,408.61,410.83,405.075,409.95,2032596.0
2021-07-09,412.53,413.25,410.635,412.11,2078874.0
2021-07-12,411.02,416.4,410.31,416.04,2802629.0
2021-07-13,416.38,419.69,415.71,418.54,2948990.0
2021-07-14,420.77,422.53,413.35,414.74,3538730.0
2021-07-15,411.91,421.73,407.2,420.05,3546506.0
2021-07-16,421.36,422.29,417.6414,419.7,2625375.0
2021-07-19,417.24,419.53,406.81,409.06,3611295.0
2021-07-20,411.0,417.73,410.61,412.97,3186929.0
2021-07-21,417.06,417.23,410.83,414.64,1863958.0
2021-07-22,416.02,416.825,413.73,415.77,1421946.0
2021-07-23,417.9,419.34,415.99,417.7,1611877.0
2021-07-26,416.83,417.67,410.9,413.54,2232878.0
2021-07-27,412.0,415.26,409.46,415.1,2630593.0
2021-07-28,414.49,414.49,406.8,409.17,2446949.0
2021-07-29,411.28,412.58,408.42,412.08,1548884.0
2021-07-30,410.76,413.77,410.2503,412.22,1864207.0
2021-08-02,413.57,416.44,412.81,415.57,1806710.0
2021-08-03,415.82,422.14,415.08,421.9,2496628.0
2021-08-04,422.05,423.66,419.71,421.54,1995410.0
2021-08-05,422.06,422.25,407.89,411.19,3598649.0
2021-08-06,412.01,416.77,412.01,415.12,1944057.0
2021-08-09,414.95,416.23,410.35,410.87,1509781.0
2021-08-10,410.51,413.65,408.57,411.78,1441848.0
2021-08-11,413.03,413.93,407.51,407.74,1542591.0
2021-08-12,407.0,408.73,404.3,405.96,1940158.0
2021-08-13,407.08,410.05,405.92,409.67,1536032.0
2021-08-16,409.84,417.42,407.33,417.21,2377942.0
2021-08-17,417.1,422.5,416.63,421.78,2257975.0
2021-08-18,421.35,421.59,417.09,417.32,3037085.0
2021-08-19,415.38,428.3524,412.4,427.89,3204670.0
2021-08-20,428.35,431.355,426.91,429.71,2401874.0
2021-08-23,430.56,430.56,424.9,425.36,2375913.0
2021-08-24,425.52,425.94,421.72,423.41,1619511.0
2021-08-25,421.85,423.615,419.45,419.74,1939263.0
2021-08-26,419.77,421.39,416.63,416.85,1385426.0
2021-08-27,418.01,420.35,416.115,418.76,1621625.0
2021-08-30,418.76,420.57,417.89,418.3,1284534.0
2021-08-31,417.0,420.7387,414.215,416.27,4249141.0
2021-09-01,416.54,419.87,411.24,417.35,2034426.0
2021-09-02,419.16,424.4,418.24,423.71,3137553.0
2021-09-03,421.93,424.0,420.61,422.86,1604878.0
2021-09-07,420.3,422.26,417.58,421.24,1920360.0
2021-09-08,421.19,422.87,414.2,415.39,2262485.0
2021-09-09,415.34,420.22,413.93,414.55,3508654.0
2021-09-10,415.56,416.0,402.59,403.91,4215812.0
2021-09-13,407.98,416.81,406.45,414.52,3068508.0
2021-09-14,417.59,417.59,411.365,412.54,2879816.0
2021-09-15,412.52,421.42,409.5,417.52,3180913.0
2021-09-16,419.67,423.4,414.9616,416.84,2262750.0
2021-09-17,414.97,421.09,414.97,420.16,4534224.0
2021-09-20,416.92,419.2974,408.72,412.7,2799803.0
2021-09-21,415.01,418.78,412.21,412.34,2382332.0
2021-09-22,404.94,412.0,404.94,408.7,3629528.0
2021-09-23,409.8,414.85,407.51,408.03,2681575.0
2021-09-24,406.94,407.89,405.23,407.08,1950406.0
2021-09-27,407.83,412.15,404.96,405.27,2608595.0
2021-09-28,402.6,404.0,397.02,398.62,3115355.0
2021-09-29,397.0,401.85,395.8,400.41,2056513.0
2021-09-30,401.49,403.49,390.46,390.74,3779978.0
2021-10-01,391.6,393.69,383.12,392.43,3146595.0
2021-10-04,391.62,395.15,384.76,387.01,3074800.0
2021-10-05,389.34,396.01,389.24,393.43,3269575.0
2021-10-06,390.75,394.775,385.84,394.25,2809162.0
2021-10-07,396.76,408.17,396.71,404.7,2813903.0
2021-10-08,406.41,409.12,402.64,408.46,2012300.0
2021-10-11,408.0,411.215,404.21,404.99,2164172.0
