date,1. open,2. high,3. low,4. close,5. volume
2020-12-14,207.85,211.3,206.97,207.25,11967704.0
2020-12-15,208.54,209.44,206.16,208.36,9799032.0
2020-12-16,208.48,209.125,207.14,208.27,7504356.0
2020-12-17,209.0,211.78,208.85,211.18,6517228.0
2020-12-18,211.02,211.98,209.87,211.31,13298241.0
2020-12-21,208.27,209.8,204.79,209.01,7576684.0
2020-12-22,208.39,208.4,205.6,205.84,7403829.0
2020-12-23,207.33,207.33,205.11,205.3,6523085.0
2020-12-24,206.64,208.816,206.6,208.7,3367895.0
2020-12-28,209.85,213.46,208.95,212.63,5771628.0
2020-12-29,214.61,215.24,213.54,214.37,6093412.0
2020-12-30,216.0,220.39,215.65,218.36,8875066.0
2020-12-31,218.4,219.82,216.2,218.73,5922170.0
2021-01-04,220.25,220.25,214.24,217.76,10318329.0
2021-01-05,216.31,218.46,213.64,214.51,6869718.0
2021-01-06,213.8,216.17,212.07,212.62,7206248.0
2021-01-07,212.2,215.22,212.2,213.81,10967869.0
2021-01-08,214.17,216.12,212.75,215.45,6513279.0
2021-01-11,213.96,214.86,212.48,212.89,7354527.0
2021-01-12,212.34,212.79,207.47,208.86,9309354.0
2021-01-13,209.41,211.0,208.63,209.35,6688464.0
2021-01-14,210.57,211.21,201.73,201.86,12887478.0
2021-01-15,201.54,203.26,200.425,201.59,8755049.0
2021-01-19,203.05,204.165,200.07,201.66,9772034.0
2021-01-20,203.03,207.19,202.23,206.01,12675730.0
2021-01-21,206.05,207.1727,204.75,205.14,6517948.0
2021-01-22,203.99,205.33,201.8,202.02,7316201.0
2021-01-25,200.34,201.64,195.75,200.98,19282359.0
2021-01-26,201.76,203.49,200.9701,202.01,9605270.0
2021-01-27,197.64,199.7,193.96,194.97,13772435.0
2021-01-28,200.0,202.0,198.17,198.22,11041253.0
2021-01-29,197.82,203.05,192.81,193.25,21503035.0
2021-02-01,195.14,199.21,195.02,198.36,12970674.0
2021-02-02,200.85,204.35,200.0,202.61,11265567.0
2021-02-03,203.07,203.51,200.98,201.36,13458644.0
2021-02-04,203.24,209.68,203.1,209.25,14534751.0
2021-02-05,209.98,210.13,208.66,208.77,10283953.0
2021-02-08,210.0,210.65,205.91,206.89,8637076.0
2021-02-09,205.76,207.63,203.7,206.52,7552200.0
2021-02-10,207.97,207.97,205.94,206.44,8447167.0
2021-02-11,207.33,211.59,207.19,210.66,8411071.0
2021-02-12,209.36,211.13,207.68,209.96,6911014.0
2021-02-16,210.66,211.05,207.35,207.9,9652749.0
2021-02-17,205.26,208.28,205.0627,207.51,8368000.0
2021-02-18,205.88,209.7,204.96,209.35,7329287.0
2021-02-19,209.34,209.53,203.76,204.73,15011520.0
2021-02-22,203.55,210.65,203.11,208.32,8296130.0
2021-02-23,207.4,213.91,206.55,212.11,10571717.0
2021-02-24,212.36,220.53,211.2888,219.43,12038951.0
2021-02-25,219.29,220.445,212.58,213.75,11354745.0
2021-02-26,214.05,215.21,210.74,212.39,11559597.0
2021-03-01,214.97,217.8,214.79,216.63,6982504.0
2021-03-02,216.96,217.93,214.82,215.77,6155184.0
2021-03-03,215.15,217.19,212.86,214.85,6484597.0
2021-03-04,215.97,217.02,208.67,211.5,10658902.0
2021-03-05,213.73,216.1,209.63,215.41,7582002.0
2021-03-08,216.98,226.13,215.81,220.27,14750387.0
2021-03-09,222.06,225.0,220.19,220.36,9228559.0
2021-03-10,220.72,224.185,219.4,223.17,7822898.0
2021-03-11,224.53,228.2298,223.81,226.15,10053421.0
2021-03-12,225.28,226.54,223.4201,224.36,8172396.0
2021-03-15,224.23,227.085,221.7407,223.27,9306996.0
2021-03-16,223.71,225.58,222.295,224.7,8949319.0
2021-03-17,225.05,226.24,221.76,223.02,8675616.0
2021-03-18,221.43,222.52,219.58,220.66,9323007.0
2021-03-19,219.12,220.1689,206.88,206.9,32209683.0
2021-03-22,206.55,212.29,206.23,208.0,11371584.0
2021-03-23,209.05,209.96,207.5,208.15,8820746.0
2021-03-24,208.75,211.14,207.93,208.07,10101640.0
2021-03-25,207.67,208.82,205.78,207.97,8390834.0
2021-03-26,208.25,213.7,207.7,213.53,7399940.0
2021-03-29,212.45,215.29,211.12,214.51,7792260.0
2021-03-30,213.01,214.15,211.41,211.9,5497997.0
2021-03-31,212.55,214.11,211.545,211.73,13179961.0
2021-04-01,213.784,217.74,212.3,216.86,6138428.0
2021-04-05,218.6,220.51,217.3088,219.04,10440483.0
2021-04-06,217.62,219.4,215.34,218.65,7828103.0
2021-04-07,219.12,221.04,218.64,219.27,5614322.0
2021-04-08,219.97,222.82,218.11,220.7,11041976.0
2021-04-09,221.0,222.6,219.51,222.52,5724939.0
2021-04-12,220.24,221.91,219.22,221.47,6315207.0
2021-04-13,221.0,221.615,220.22,221.02,4764036.0
2021-04-14,221.0,223.1,220.07,221.98,4972551.0
2021-04-15,223.89,227.6257,223.855,226.28,8698106.0
2021-04-16,227.17,227.8,225.76,226.41,6829350.0
2021-04-19,225.75,227.58,225.08,225.79,6541636.0
2021-04-20,224.78,225.38,221.82,223.28,5799134.0
2021-04-21,223.31,227.87,222.865,227.45,9490560.0
2021-04-22,227.3,230.9348,226.89,227.57,7302953.0
2021-04-23,228.61,231.82,227.71,230.0,5345445.0
2021-04-26,230.77,232.95,229.52,230.34,5650039.0
2021-04-27,231.03,231.16,228.985,229.91,6642114.0
2021-04-28,230.95,236.27,230.6748,233.45,10111448.0
2021-04-29,235.23,237.5,233.15,236.86,7411371.0
2021-04-30,235.32,235.93,232.29,233.56,10260248.0
2021-05-03,234.05,235.74,231.385,232.61,8174440.0
2021-05-04,231.6,232.3926,230.23,232.03,5884506.0
2021-05-05,233.85,233.85,228.66,229.21,3887800.0
2021-05-06,229.63,231.58,228.66,231.32,6124286.0
2021-05-07,232.34,233.22,230.705,232.12,4529048.0
