date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,6.59,6.6,6.25,6.26,155548262.0
2020-04-27,6.38,6.47,6.33,6.43,106870551.0
2020-04-28,6.57,6.92,6.57,6.8,140424863.0
2020-04-29,6.68,6.9,6.52,6.58,224642890.0
2020-04-30,6.56,6.82,6.41,6.8,175398298.0
2020-05-01,6.67,6.74,6.41,6.5,120197267.0
2020-05-04,6.3,6.31,6.15,6.21,136505538.0
2020-05-05,6.28,6.46,6.16,6.2,116836621.0
2020-05-06,6.2,6.25,5.97,5.98,117067525.0
2020-05-07,6.06,6.26,6.06,6.11,100524690.0
2020-05-08,6.21,6.33,6.16,6.29,93620592.0
2020-05-11,6.24,6.25,6.13,6.19,71744673.0
2020-05-12,6.22,6.28,6.0,6.0,95211176.0
2020-05-13,6.0,6.02,5.48,5.79,235376513.0
2020-05-14,5.62,5.9,5.48,5.7,140032223.0
2020-05-15,5.61,5.66,5.48,5.49,128224084.0
2020-05-18,5.74,6.485,5.74,6.27,254546970.0
2020-05-19,6.29,6.37,6.09,6.21,107796050.0
2020-05-20,6.33,6.47,6.29,6.42,91015140.0
2020-05-21,6.42,6.55,6.33,6.48,98563405.0
2020-05-22,6.48,6.48,6.27,6.41,69131315.0
2020-05-26,6.79,6.94,6.79,6.8,129291756.0
2020-05-27,7.25,7.43,7.085,7.29,147539810.0
2020-05-28,7.49,7.49,6.74,6.78,138699246.0
2020-05-29,6.56,6.72,6.44,6.57,129278723.0
2020-06-01,6.58,6.82,6.49,6.76,75174551.0
2020-06-02,6.9,7.18,6.8626,7.05,113418324.0
2020-06-03,7.22,7.42,7.18,7.36,122553190.0
2020-06-04,7.31,7.75,7.17,7.74,124827108.0
2020-06-05,8.45,8.56,7.83,7.88,167494464.0
2020-06-08,8.22,8.57,8.11,8.46,158211858.0
2020-06-09,8.1899,8.21,7.9,8.02,117472181.0
2020-06-10,7.97,7.98,7.52,7.61,116270611.0
2020-06-11,7.06,7.35,6.84,6.95,124175660.0
2020-06-12,7.34,7.43,7.08,7.25,100912452.0
2020-06-15,6.95,7.35,6.85,7.24,101911410.0
2020-06-16,7.73,7.74,7.29,7.47,98058129.0
2020-06-17,7.5,7.53,7.2,7.24,75056197.0
2020-06-18,7.13,7.32,7.02,7.28,78176994.0
2020-06-19,7.42,7.45,7.09,7.15,88586566.0
2020-06-22,7.17,7.18,6.96,7.04,78063068.0
2020-06-23,7.09,7.13,6.97,7.0,80486536.0
2020-06-24,6.9,6.9,6.52,6.53,144356660.0
2020-06-25,6.5,6.7,6.42,6.68,73809406.0
2020-06-26,6.62,6.65,6.45,6.48,89295895.0
2020-06-29,6.57,6.8,6.5,6.8,75122300.0
2020-06-30,6.71,6.87,6.66,6.83,69304600.0
2020-07-01,6.93,7.01,6.71,6.74,120516900.0
2020-07-02,6.86,7.04,6.81,6.82,74100400.0
2020-07-06,6.98,7.08,6.89,7.0,75276500.0
2020-07-07,6.89,6.89,6.75,6.76,62213400.0
2020-07-08,6.82,6.87,6.72,6.86,64297500.0
2020-07-09,6.83,6.83,6.58,6.58,74651100.0
2020-07-10,6.54,6.72,6.53,6.69,63284100.0
2020-07-13,6.76,6.82,6.64,6.7,68313900.0
2020-07-14,6.66,6.89,6.57,6.88,69725200.0
2020-07-15,7.09,7.21,7.03,7.14,89663900.0
2020-07-16,7.06,7.18,6.99,7.05,52273500.0
2020-07-17,7.06,7.15,6.98,7.07,59953000.0
2020-07-20,7.01,7.06,6.86,6.87,48984775.0
2020-07-21,6.94,7.15,6.9,7.04,69875086.0
2020-07-22,6.99,7.09,6.9,7.06,65508263.0
2020-07-23,7.06,7.12,6.97,7.04,68628509.0
