date,1. open,2. high,3. low,4. close,5. volume
2020-04-29,278.45,285.0,276.26,283.69,8500100.0
2020-04-30,278.43,281.63,273.41,274.97,5887700.0
2020-05-01,268.7,273.99,267.21,268.74,5066000.0
2020-05-04,265.5,270.07,263.01,269.26,3747000.0
2020-05-05,276.84,277.85,273.3,273.98,3925400.0
2020-05-06,276.96,276.96,271.55,272.44,3258400.0
2020-05-07,277.81,282.45,277.24,278.47,4370600.0
2020-05-08,283.4,283.42,279.5,282.44,3215400.0
2020-05-11,279.5,282.81,277.63,281.23,4056200.0
2020-05-12,280.45,282.33,272.11,272.11,4019600.0
2020-05-13,272.3,276.07,264.19,269.16,4793400.0
2020-05-14,270.2,277.56,263.96,277.31,6291000.0
2020-05-15,276.04,279.14,273.29,278.94,3810800.0
2020-05-18,285.46,292.09,285.0,289.9,6037700.0
2020-05-19,289.17,297.82,287.49,290.73,5210400.0
2020-05-20,295.75,301.15,295.39,298.8,4589800.0
2020-05-21,299.37,299.93,292.75,294.26,3942000.0
2020-05-22,295.06,296.8,293.01,294.91,2895900.0
2020-05-26,304.62,305.0,301.94,303.33,5244600.0
2020-05-27,304.0,304.73,292.12,299.77,5147700.0
2020-05-28,300.98,310.0,298.84,302.3,4520800.0
2020-05-29,302.0,304.43,298.87,300.89,4930000.0
2020-06-01,300.8,303.06,297.9,301.4,2841800.0
2020-06-02,304.99,306.11,301.69,303.59,4130400.0
2020-06-03,305.48,308.11,302.21,307.07,3428400.0
2020-06-04,305.44,306.62,299.34,301.37,4146800.0
2020-06-05,306.81,312.18,305.65,311.88,5056900.0
2020-06-08,311.06,313.58,307.05,310.41,3722600.0
2020-06-09,309.78,313.47,308.2,311.49,3313600.0
2020-06-10,312.39,316.06,310.29,313.15,4082500.0
2020-06-11,305.01,306.49,291.06,291.25,6498500.0
2020-06-12,298.79,299.99,290.89,297.79,4509900.0
2020-06-15,290.0,298.92,288.75,297.17,5932800.0
2020-06-16,305.91,309.09,300.11,304.48,4012800.0
2020-06-17,305.0,307.48,303.08,303.76,2562600.0
2020-06-18,301.83,305.1,300.5,304.85,2774900.0
2020-06-19,309.5,309.5,296.5,296.5,4532000.0
2020-06-22,299.6,304.95,297.73,304.44,3486200.0
