date,1. open,2. high,3. low,4. close,5. volume
2020-05-28,115.53,116.99,114.9,116.06,6586712.0
2020-05-29,116.13,116.72,114.62,115.92,7867972.0
2020-06-01,116.0,117.5,115.26,117.25,5104644.0
2020-06-02,117.07,118.14,116.82,118.06,6327113.0
2020-06-03,118.1,119.19,117.95,118.53,6170865.0
2020-06-04,118.0,118.83,115.57,116.05,6895807.0
2020-06-05,116.25,118.83,116.05,118.33,7335646.0
2020-06-08,117.44,119.12,116.84,119.05,6924600.0
2020-06-09,119.4,119.76,118.15,118.34,5560941.0
2020-06-10,119.0,119.89,118.11,119.23,6673363.0
2020-06-11,118.81,119.57,116.0,116.26,8936160.0
2020-06-12,116.59,118.05,115.26,115.62,7998450.0
2020-06-15,114.55,117.28,113.76,116.69,8785764.0
2020-06-16,118.53,118.97,116.93,118.13,8165082.0
2020-06-17,118.39,119.11,117.44,117.93,6320712.0
2020-06-18,117.46,119.96,117.37,119.28,6171958.0
2020-06-19,120.49,121.82,118.83,118.92,17506157.0
2020-06-22,118.78,119.08,117.34,117.75,5694412.0
2020-06-23,118.67,119.19,117.65,117.73,5340314.0
2020-06-24,117.22,117.96,116.28,116.42,6546633.0
2020-06-25,116.99,118.03,116.03,117.89,5487088.0
2020-06-26,117.59,118.47,115.04,115.23,23210656.0
2020-06-29,116.51,118.05,116.35,117.66,6866923.0
2020-06-30,117.97,119.99,117.8,119.57,7818006.0
2020-07-01,119.65,120.39,118.9,119.98,6506575.0
2020-07-02,121.0,122.57,120.53,120.88,6149897.0
2020-07-06,121.77,122.41,120.88,121.63,6022517.0
2020-07-07,121.3,123.25,120.89,122.22,6866349.0
2020-07-08,122.15,123.24,122.0,122.89,6493367.0
2020-07-09,122.82,123.98,121.81,122.48,5340471.0
2020-07-10,122.57,124.5,122.47,123.89,6752407.0
2020-07-13,124.0,125.59,123.34,124.05,7680531.0
2020-07-14,123.99,125.66,123.5,125.09,6271024.0
2020-07-15,125.98,126.9,124.26,124.5,8142598.0
2020-07-16,125.08,125.52,123.91,124.76,3959308.0
2020-07-17,125.09,126.07,124.83,125.63,4868578.0
2020-07-20,125.47,125.84,124.79,125.24,4241508.0
2020-07-21,125.49,126.64,124.92,125.07,5162335.0
2020-07-22,125.5,126.4,124.21,126.14,5929208.0
2020-07-23,126.12,127.18,125.6,126.16,6664788.0
2020-07-24,126.99,127.77,125.315,125.96,6014523.0
2020-07-27,125.71,126.64,125.54,126.32,6464784.0
2020-07-28,126.37,128.46,126.29,127.88,7644674.0
2020-07-29,127.56,129.24,127.36,128.31,6702034.0
2020-07-30,130.66,132.03,129.65,131.42,10400727.0
2020-07-31,130.0065,131.21,129.27,131.12,8487840.0
2020-08-03,130.47,131.92,130.47,131.29,7770344.0
2020-08-04,130.77,133.93,130.7,133.79,7737154.0
2020-08-05,133.59,134.65,133.12,133.44,5680385.0
2020-08-06,132.8502,133.37,132.12,132.71,3974322.0
2020-08-07,132.89,133.64,132.45,133.55,4934948.0
2020-08-10,133.7,134.4399,133.185,134.1,5812760.0
2020-08-11,134.27,134.7399,132.795,133.23,5330012.0
2020-08-12,133.77,135.97,133.7,135.46,5920397.0
2020-08-13,135.08,135.87,134.93,135.78,4989503.0
2020-08-14,135.61,135.64,134.55,135.1,5845231.0
2020-08-17,134.94,135.7,134.66,135.5,5590107.0
2020-08-18,135.81,137.52,135.42,136.51,8670776.0
2020-08-19,135.54,136.32,135.5,135.77,6827671.0
2020-08-20,135.24,136.98,135.19,136.85,4352541.0
2020-08-21,136.6,138.101,135.91,137.44,5706678.0
2020-08-24,137.49,138.78,137.2,138.51,7420504.0
2020-08-25,139.0,139.15,137.8,139.06,4718309.0
2020-08-26,138.57,139.32,138.25,138.39,4746223.0
2020-08-27,138.84,139.69,138.18,138.21,6156418.0
2020-08-28,138.32,138.91,136.95,138.77,4166280.0
2020-08-31,138.19,138.73,137.82,138.33,5597152.0
2020-09-01,137.86,138.22,137.07,138.18,5672308.0
2020-09-02,138.11,141.44,137.61,140.51,8384795.0
2020-09-03,140.74,141.7,137.09,138.26,7277910.0
2020-09-04,137.81,139.19,136.12,137.96,7437835.0
2020-09-08,138.52,138.64,135.038,135.94,6847640.0
2020-09-09,136.42,139.56,136.27,138.15,6002891.0
2020-09-10,138.12,138.715,136.51,136.7,5242617.0
2020-09-11,137.69,138.66,137.16,138.14,4398051.0
2020-09-14,138.44,139.58,138.33,138.63,4767466.0
2020-09-15,138.79,139.77,138.39,138.63,4046529.0
2020-09-16,139.57,140.17,137.6,137.7,6050037.0
2020-09-17,137.06,137.88,136.19,137.52,4648708.0
2020-09-18,136.91,137.93,136.26,137.37,10192776.0
2020-09-21,137.0,137.47,134.7,136.71,7092706.0
2020-09-22,136.49,139.03,136.24,137.96,4723016.0
2020-09-23,138.42,138.42,136.09,136.31,6374016.0
2020-09-24,136.665,137.15,135.71,136.92,5708196.0
2020-09-25,135.89,137.99,135.89,137.62,4970184.0
2020-09-28,138.56,139.94,137.78,138.01,5810836.0
2020-09-29,138.39,138.42,136.66,137.26,4493156.0
2020-09-30,138.16,139.85,137.81,138.99,8727963.0
2020-10-01,139.58,139.99,138.21,139.24,5713511.0
2020-10-02,137.93,139.12,136.95,138.12,6077907.0
2020-10-05,138.72,139.65,138.3,139.39,6333929.0
2020-10-06,139.42,140.77,138.81,139.61,6042878.0
2020-10-07,140.08,141.39,139.37,140.7,4640939.0
2020-10-08,140.56,141.93,140.3635,141.65,4570134.0
2020-10-09,141.84,143.64,141.7,142.92,6551774.0
2020-10-12,143.33,145.33,143.33,144.49,5791704.0
2020-10-13,143.82,144.84,143.46,144.21,4509433.0
2020-10-14,144.18,145.1,143.08,144.04,3860801.0
2020-10-15,143.06,144.39,142.89,143.83,4997147.0
2020-10-16,144.42,145.87,143.92,144.39,6807859.0
